x,y
10.0,3.5165502322383924e-05
9.997557997557998,3.518953235650216e-05
9.995115995115995,3.5213587825683166e-05
9.992673992673993,3.523766876681916e-05
9.99023199023199,3.526177521687075e-05
9.987789987789988,3.528590721286712e-05
9.985347985347985,3.5310064791906065e-05
9.982905982905983,3.533424799115433e-05
9.98046398046398,3.535845684784757e-05
9.978021978021978,3.538269139929069e-05
9.975579975579976,3.540695168285785e-05
9.973137973137973,3.543123773599271e-05
9.97069597069597,3.5455549596208555e-05
9.968253968253968,3.547988730108848e-05
9.965811965811966,3.5504250888285506e-05
9.963369963369964,3.552864039552279e-05
9.960927960927961,3.5553055860593715e-05
9.958485958485959,3.557749732136214e-05
9.956043956043956,3.560196481576249e-05
9.953601953601954,3.562645838179993e-05
9.951159951159951,3.565097805755056e-05
9.948717948717949,3.567552388116153e-05
9.946275946275946,3.570009589085123e-05
9.943833943833944,3.5724694124909446e-05
9.941391941391942,3.574931862169753e-05
9.93894993894994,3.577396941964855e-05
9.936507936507937,3.579864655726745e-05
9.934065934065934,3.582335007313124e-05
9.931623931623932,3.584808000588914e-05
9.92918192918193,3.587283639426276e-05
9.926739926739927,3.5897619277046214e-05
9.924297924297925,3.592242869310638e-05
9.921855921855922,3.594726468138299e-05
9.91941391941392,3.5972127280888805e-05
9.916971916971917,3.599701653070982e-05
9.914529914529915,3.60219324700054e-05
9.912087912087912,3.604687513800845e-05
9.90964590964591,3.6071844574025625e-05
9.907203907203908,3.609684081743741e-05
9.904761904761905,3.612186390769839e-05
9.902319902319903,3.614691388433736e-05
9.8998778998779,3.617199078695751e-05
9.897435897435898,3.619709465523659e-05
9.894993894993895,3.62222255289271e-05
9.892551892551893,3.624738344785643e-05
9.89010989010989,3.627256845192707e-05
9.887667887667888,3.629778058111676e-05
9.885225885225886,3.632301987547866e-05
9.882783882783883,3.634828637514155e-05
9.88034188034188,3.637358012030997e-05
9.877899877899878,3.639890115126439e-05
9.875457875457876,3.6424249508361463e-05
9.873015873015873,3.644962523203409e-05
9.870573870573871,3.647502836279168e-05
9.868131868131869,3.650045894122027e-05
9.865689865689866,3.652591700798276e-05
9.863247863247864,3.655140260381902e-05
9.860805860805861,3.6576915769546156e-05
9.858363858363859,3.660245654605859e-05
9.855921855921856,3.6628024974328306e-05
9.853479853479854,3.665362109540502e-05
9.851037851037852,3.6679244950416374e-05
9.84859584859585,3.670489658056802e-05
9.846153846153847,3.673057602714396e-05
9.843711843711844,3.6756283331506584e-05
9.841269841269842,3.678201853509695e-05
9.83882783882784,3.680778167943489e-05
9.836385836385837,3.683357280611926e-05
9.833943833943835,3.685939195682807e-05
9.831501831501832,3.688523917331873e-05
9.82905982905983,3.691111449742814e-05
9.826617826617827,3.693701797107298e-05
9.824175824175825,3.696294963624983e-05
9.821733821733822,3.6988909535035367e-05
9.81929181929182,3.701489770958655e-05
9.816849816849818,3.704091420214085e-05
9.814407814407815,3.706695905501635e-05
9.811965811965813,3.709303231061205e-05
9.80952380952381,3.711913401140791e-05
9.807081807081808,3.714526419996519e-05
9.804639804639805,3.717142291892654e-05
9.802197802197803,3.7197610211016214e-05
9.7997557997558,3.7223826119040274e-05
9.797313797313798,3.7250070685886774e-05
9.794871794871796,3.727634395452596e-05
9.792429792429793,3.7302645968010435e-05
9.78998778998779,3.7328976769475374e-05
9.787545787545788,3.735533640213873e-05
9.785103785103786,3.738172490930139e-05
9.782661782661783,3.740814233434741e-05
9.780219780219781,3.743458872074418e-05
9.777777777777779,3.7461064112042626e-05
9.775335775335776,3.7487568551877414e-05
9.772893772893774,3.7514102083967155e-05
9.770451770451771,3.7540664752114584e-05
9.768009768009769,3.7567256600206735e-05
9.765567765567766,3.759387767221521e-05
9.763125763125764,3.762052801219633e-05
9.760683760683762,3.76472076642913e-05
9.758241758241759,3.7673916672726505e-05
9.755799755799757,3.7700655081813605e-05
9.753357753357754,3.772742293594982e-05
9.750915750915752,3.775422027961807e-05
9.74847374847375,3.7781047157387224e-05
9.746031746031747,3.780790361391228e-05
9.743589743589745,3.783478969393458e-05
9.74114774114774,3.7861705442281964e-05
9.738705738705738,3.7888650903869046e-05
9.736263736263735,3.7915626123697396e-05
9.733821733821733,3.7942631146855716e-05
9.73137973137973,3.796966601852008e-05
9.728937728937728,3.799673078395413e-05
9.726495726495726,3.802382548850927e-05
9.724053724053723,3.80509501776249e-05
9.72161172161172,3.8078104896828586e-05
9.719169719169718,3.810528969173633e-05
9.716727716727716,3.8132504608052703e-05
9.714285714285714,3.8159749691571116e-05
9.711843711843711,3.8187024988174004e-05
9.709401709401709,3.821433054383306e-05
9.706959706959706,3.824166640460939e-05
9.704517704517704,3.826903261665379e-05
9.702075702075701,3.8296429226206946e-05
9.699633699633699,3.832385627959961e-05
9.697191697191696,3.835131382325286e-05
9.694749694749694,3.8378801903678264e-05
